,title,price,average,ratings,link
96,Vigneti del Salento Vigne Vecchie Leggenda Primitivo di Manduria,"21,42","4,4",4464 beoordeling,https://www.vivino.com/NL/nl/wines/155856182?cart_item_source=text-search
97,Li Veli Orion Primitivo,"12,75","4,0",6126 beoordeling,https://www.vivino.com/NL/nl/wines/1565167?cart_item_source=text-search
98,Sommelier's Collection Primitivo di Manduria,-,"3,9",2583 beoordeling,https://www.vivino.com/NL/nl/wines/159015650?cart_item_source=text-search
99,Botter Primitivo,-,"3,6",2906 beoordeling,https://www.vivino.com/NL/nl/wines/2438619?cart_item_source=text-search
100,Farnese Fantini Primitivo Puglia,"6,95","3,6",4262 beoordeling,https://www.vivino.com/NL/nl/wines/2695435?cart_item_source=text-search
101,Conte di Campiano Carlo Scala Primitivo di Manduria,"10,99","4,0",2137 beoordeling,https://www.vivino.com/NL/nl/wines/151915027?cart_item_source=text-search
102,Bacca Nera Negroamaro - Primitivo Salento,"9,00","3,7",3630 beoordeling,https://www.vivino.com/NL/nl/wines/1472598?cart_item_source=text-search
103,Conte di Campiano Vincenzo Tribute Primitivo di Manduria,-,"4,1",2837 beoordeling,https://www.vivino.com/NL/nl/wines/165042095?cart_item_source=text-search
104,Via Cassia Primitivo,-,"3,5",5289 beoordeling,https://www.vivino.com/NL/nl/wines/10740966?cart_item_source=text-search
105,Pirovano Collezione Beatrice Primitivo,-,"4,0",2542 beoordeling,https://www.vivino.com/NL/nl/wines/158111740?cart_item_source=text-search
106,Codici Masserie Primitivo,"5,99","4,0",3340 beoordeling,https://www.vivino.com/NL/nl/wines/154169612?cart_item_source=text-search
107,Botter Oltre Passo Primitivo,-,"3,6",2982 beoordeling,https://www.vivino.com/NL/nl/wines/10471706?cart_item_source=text-search
108,Primitivo di Manduria,-,"3,2",1122 beoordeling,https://www.vivino.com/NL/nl/wines/14995031?cart_item_source=text-search
109,Feudi di San Gregorio Primitivo,"10,76","3,7",4819 beoordeling,https://www.vivino.com/NL/nl/wines/1932917?cart_item_source=text-search
110,Cantele Primitivo,"9,78","3,7",4690 beoordeling,https://www.vivino.com/NL/nl/wines/1769346?cart_item_source=text-search
111,Il Capolavoro Primitivo,-,"3,4",2351 beoordeling,https://www.vivino.com/NL/nl/wines/1529940?cart_item_source=text-search
112,Vigneti del Salento Primitivo - Merlot Zolla,"8,29","4,1",3834 beoordeling,https://www.vivino.com/NL/nl/wines/7575540?cart_item_source=text-search
113,Ronco di Sassi Primitivo Appassimento,"24,99","4,2",2904 beoordeling,https://www.vivino.com/NL/nl/wines/148186353?cart_item_source=text-search
114,Rocca Primitivo,"9,45","3,6",2773 beoordeling,https://www.vivino.com/NL/nl/wines/4311578?cart_item_source=text-search
115,Borgo del Mandorlo Primitivo di Manduria,-,"4,0",2491 beoordeling,https://www.vivino.com/NL/nl/wines/16388213?cart_item_source=text-search
116,Magnifico Rosso Fuoco Primitivo,-,"3,8",2430 beoordeling,https://www.vivino.com/NL/nl/wines/10881799?cart_item_source=text-search
117,Senza Parole Primitivo,-,"3,9",5491 beoordeling,https://www.vivino.com/NL/nl/wines/1662395?cart_item_source=text-search
118,Feudo Croce Imperio LXXIV Primitivo di Manduria,"14,95","4,1",3101 beoordeling,https://www.vivino.com/NL/nl/wines/151022539?cart_item_source=text-search
119,San Marzano Tramari Rosé di Primitivo,"9,85","4,0",7816 beoordeling,https://www.vivino.com/NL/nl/wines/142057504?cart_item_source=text-search
